size,clue_density,n_clues,num_vars,n_clauses,status,wall_time_s,dp_calls,unit_clause_checks,pure_literal_checks,remove_literal_calls,select_literal_calls,model_len,model_cnf_valid,model_semantic_valid,error,expected_status,is_correct
9,0.18518518518518517,15,729,14307,UNSAT,0.28790045799541986,1,248,0,248,0,0,,,,UNSAT,True
9,0.18518518518518517,15,729,14307,ERROR,0.3937451859965222,1,420,1,418,1,0,,,solve: TypeError: object of type 'int' has no len(),SAT,False
9,0.25925925925925924,21,729,14313,UNSAT,0.3227223119974951,1,297,0,297,0,0,,,,UNSAT,True
9,0.2345679012345679,19,729,14311,UNSAT,0.404848796002625,1,451,0,451,0,0,,,,UNSAT,True
9,0.1728395061728395,14,729,14306,UNSAT,0.031118029000936076,1,15,0,15,0,0,,,,UNSAT,True
9,0.1111111111111111,9,729,14301,ERROR,0.31655136100016534,1,288,1,286,1,0,,,solve: TypeError: object of type 'int' has no len(),SAT,False
9,0.2345679012345679,19,729,14311,UNSAT,0.02970276399719296,1,14,0,14,0,0,,,,UNSAT,True
9,0.24691358024691357,20,729,14312,UNSAT,0.36155567599780625,1,355,0,355,0,0,,,,UNSAT,True
9,0.14814814814814814,12,729,14304,ERROR,0.36484187500172993,1,375,1,373,1,0,,,solve: TypeError: object of type 'int' has no len(),SAT,False
9,0.1111111111111111,9,729,14301,ERROR,0.3168218440041528,1,291,1,289,1,0,,,solve: TypeError: object of type 'int' has no len(),SAT,False
9,0.14814814814814814,12,729,14304,ERROR,0.3565448800000013,1,357,1,355,1,0,,,solve: TypeError: object of type 'int' has no len(),SAT,False
9,0.2345679012345679,19,729,14311,UNSAT,0.40908141700492706,1,491,0,491,0,0,,,,UNSAT,True
9,0.25925925925925924,21,729,14313,SAT,0.44383319999906234,1,729,0,729,0,729,True,True,,SAT,True
9,0.2222222222222222,18,729,14310,UNSAT,0.2532329599998775,1,211,0,211,0,0,,,,UNSAT,True
9,0.2345679012345679,19,729,14311,ERROR,0.4315520519958227,1,596,1,594,1,0,,,solve: TypeError: object of type 'int' has no len(),SAT,False
9,0.19753086419753085,16,729,14308,ERROR,0.3913550699944608,1,438,1,436,1,0,,,solve: TypeError: object of type 'int' has no len(),SAT,False
9,0.2222222222222222,18,729,14310,UNSAT,0.3736092380058835,1,388,0,388,0,0,,,,UNSAT,True
9,0.2222222222222222,18,729,14310,UNSAT,0.07152779999887571,1,45,0,45,0,0,,,,UNSAT,True
9,0.24691358024691357,20,729,14312,SAT,0.4413243689996307,1,729,0,729,0,729,True,True,,SAT,True
9,0.2345679012345679,19,729,14311,UNSAT,0.22580044400092447,1,181,0,181,0,0,,,,UNSAT,True
9,0.19753086419753085,16,729,14308,UNSAT,0.07183390499994857,1,45,0,45,0,0,,,,UNSAT,True
9,0.14814814814814814,12,729,14304,ERROR,0.3773089739988791,1,395,1,393,1,0,,,solve: TypeError: object of type 'int' has no len(),SAT,False
9,0.24691358024691357,20,729,14312,UNSAT,0.25512559799972223,1,213,0,213,0,0,,,,UNSAT,True
9,0.2222222222222222,18,729,14310,SAT,0.4420034070062684,1,729,0,729,0,729,True,True,,SAT,True
9,0.14814814814814814,12,729,14304,UNSAT,0.026957939997373614,1,12,0,12,0,0,,,,UNSAT,True
9,0.2345679012345679,19,729,14311,UNSAT,0.2871580009959871,1,244,0,244,0,0,,,,UNSAT,True
9,0.1728395061728395,14,729,14306,ERROR,0.38954695600114064,1,434,1,432,1,0,,,solve: TypeError: object of type 'int' has no len(),SAT,False
9,0.20987654320987653,17,729,14309,UNSAT,0.4153936880029505,1,512,0,512,0,0,,,,UNSAT,True
9,0.2345679012345679,19,729,14311,UNSAT,0.42025305099377874,1,519,0,519,0,0,,,,UNSAT,True
9,0.2345679012345679,19,729,14311,UNSAT,0.394018586994207,1,442,0,442,0,0,,,,UNSAT,True
9,0.1728395061728395,14,729,14306,ERROR,0.3928783619994647,1,444,1,442,1,0,,,solve: TypeError: object of type 'int' has no len(),SAT,False
9,0.24691358024691357,20,729,14312,UNSAT,0.36352869999973336,1,365,0,365,0,0,,,,UNSAT,True
9,0.2222222222222222,18,729,14310,SAT,0.4401951920008287,1,729,0,729,0,729,True,True,,SAT,True
9,0.20987654320987653,17,729,14309,SAT,0.4380077390014776,1,729,0,729,0,729,True,True,,SAT,True
9,0.24691358024691357,20,729,14312,UNSAT,0.29606546700233594,1,260,0,260,0,0,,,,UNSAT,True
9,0.20987654320987653,17,729,14309,UNSAT,0.23361027100327192,1,186,0,186,0,0,,,,UNSAT,True
9,0.25925925925925924,21,729,14313,SAT,0.43941443000221625,1,729,0,729,0,729,True,True,,SAT,True
9,0.18518518518518517,15,729,14307,ERROR,0.3749638809968019,1,386,1,384,1,0,,,solve: TypeError: object of type 'int' has no len(),SAT,False
9,0.18518518518518517,15,729,14307,UNSAT,0.21456335299444618,1,162,0,162,0,0,,,,UNSAT,True
9,0.09876543209876543,8,729,14300,ERROR,0.302704456000356,1,262,1,260,1,0,,,solve: TypeError: object of type 'int' has no len(),SAT,False
9,0.2716049382716049,22,729,14314,SAT,0.4463532929948997,1,729,0,729,0,729,True,True,,SAT,True
9,0.20987654320987653,17,729,14309,SAT,0.4420688109967159,1,729,0,729,0,729,True,True,,SAT,True
9,0.14814814814814814,12,729,14304,ERROR,0.35238929399929475,1,343,1,341,1,0,,,solve: TypeError: object of type 'int' has no len(),SAT,False
9,0.1728395061728395,14,729,14306,UNSAT,0.151848114997847,1,109,0,109,0,0,,,,UNSAT,True
9,0.18518518518518517,15,729,14307,ERROR,0.4207704790023854,1,488,1,486,1,0,,,solve: TypeError: object of type 'int' has no len(),SAT,False
9,0.1728395061728395,14,729,14306,ERROR,0.3807002760004252,1,405,1,403,1,0,,,solve: TypeError: object of type 'int' has no len(),SAT,False
9,0.20987654320987653,17,729,14309,UNSAT,0.029900048997660633,1,14,0,14,0,0,,,,UNSAT,True
9,0.14814814814814814,12,729,14304,ERROR,0.3643210980008007,1,366,1,364,1,0,,,solve: TypeError: object of type 'int' has no len(),SAT,False
9,0.2839506172839506,23,729,14315,SAT,0.44967596499918727,1,729,0,729,0,729,True,True,,SAT,True
9,0.18518518518518517,15,729,14307,ERROR,0.38413707200379577,1,400,1,398,1,0,,,solve: TypeError: object of type 'int' has no len(),SAT,False
9,0.2222222222222222,18,729,14310,SAT,0.4489825880009448,1,729,0,729,0,729,True,True,,SAT,True
9,0.20987654320987653,17,729,14309,UNSAT,0.31843467399448855,1,285,0,285,0,0,,,,UNSAT,True
9,0.14814814814814814,12,729,14304,ERROR,0.35473908000130905,1,343,1,341,1,0,,,solve: TypeError: object of type 'int' has no len(),SAT,False
9,0.2222222222222222,18,729,14310,UNSAT,0.3491293679981027,1,327,0,327,0,0,,,,UNSAT,True
9,0.1728395061728395,14,729,14306,UNSAT,0.07733239400113234,1,49,0,49,0,0,,,,UNSAT,True
9,0.20987654320987653,17,729,14309,ERROR,0.3873968009938835,1,406,1,404,1,0,,,solve: TypeError: object of type 'int' has no len(),SAT,False
9,0.18518518518518517,15,729,14307,ERROR,0.3883205500023905,1,412,1,410,1,0,,,solve: TypeError: object of type 'int' has no len(),SAT,False
9,0.2839506172839506,23,729,14315,UNSAT,0.19014231699839002,1,141,0,141,0,0,,,,UNSAT,True
9,0.14814814814814814,12,729,14304,ERROR,0.34252866500173695,1,312,1,310,1,0,,,solve: TypeError: object of type 'int' has no len(),SAT,False
9,0.18518518518518517,15,729,14307,ERROR,0.3882968069956405,1,403,1,401,1,0,,,solve: TypeError: object of type 'int' has no len(),SAT,False
9,0.2839506172839506,23,729,14315,UNSAT,0.44172425199940335,1,608,0,608,0,0,,,,UNSAT,True
9,0.20987654320987653,17,729,14309,ERROR,0.42598674799955916,1,502,1,500,1,0,,,solve: TypeError: object of type 'int' has no len(),SAT,False
9,0.24691358024691357,20,729,14312,SAT,0.44285845199920004,1,729,0,729,0,729,True,True,,SAT,True
9,0.18518518518518517,15,729,14307,ERROR,0.4292932610042044,1,540,1,538,1,0,,,solve: TypeError: object of type 'int' has no len(),SAT,False
9,0.20987654320987653,17,729,14309,UNSAT,0.3168281870021019,1,284,0,284,0,0,,,,UNSAT,True
9,0.13580246913580246,11,729,14303,ERROR,0.36061217400128953,1,350,1,348,1,0,,,solve: TypeError: object of type 'int' has no len(),SAT,False
9,0.2345679012345679,19,729,14311,SAT,0.44710212600330124,1,729,0,729,0,729,True,True,,SAT,True
9,0.19753086419753085,16,729,14308,ERROR,0.437059710995527,1,597,1,595,1,0,,,solve: TypeError: object of type 'int' has no len(),SAT,False
9,0.2962962962962963,24,729,14316,SAT,0.45037228100409266,1,729,0,729,0,729,True,True,,SAT,True
9,0.2345679012345679,19,729,14311,UNSAT,0.33422272600000724,1,303,0,303,0,0,,,,UNSAT,True
9,0.16049382716049382,13,729,14305,UNSAT,0.3429669460019795,1,319,0,319,0,0,,,,UNSAT,True
9,0.2716049382716049,22,729,14314,UNSAT,0.37005594200309133,1,362,0,362,0,0,,,,UNSAT,True
9,0.1728395061728395,14,729,14306,ERROR,0.37226228799409,1,382,1,380,1,0,,,solve: TypeError: object of type 'int' has no len(),SAT,False
9,0.2222222222222222,18,729,14310,UNSAT,0.1597028530013631,1,113,0,113,0,0,,,,UNSAT,True
9,0.30864197530864196,25,729,14317,SAT,0.4472226670040982,1,729,0,729,0,729,True,True,,SAT,True
9,0.25925925925925924,21,729,14313,UNSAT,0.3958228510018671,1,410,0,410,0,0,,,,UNSAT,True
9,0.16049382716049382,13,729,14305,ERROR,0.3816927130028489,1,401,1,399,1,0,,,solve: TypeError: object of type 'int' has no len(),SAT,False
9,0.2222222222222222,18,729,14310,UNSAT,0.11954369100567419,1,80,0,80,0,0,,,,UNSAT,True
9,0.08641975308641975,7,729,14299,ERROR,0.2577410640005837,1,206,1,204,1,0,,,solve: TypeError: object of type 'int' has no len(),SAT,False
9,0.20987654320987653,17,729,14309,SAT,0.4485838889959268,1,729,0,729,0,729,True,True,,SAT,True
9,0.20987654320987653,17,729,14309,ERROR,0.4390835390004213,1,571,1,569,1,0,,,solve: TypeError: object of type 'int' has no len(),SAT,False
9,0.20987654320987653,17,729,14309,UNSAT,0.373213136997947,1,377,0,377,0,0,,,,UNSAT,True
9,0.30864197530864196,25,729,14317,SAT,0.451721149001969,1,729,0,729,0,729,True,True,,SAT,True
9,0.20987654320987653,17,729,14309,UNSAT,0.2520363939984236,1,202,0,202,0,0,,,,UNSAT,True
9,0.2345679012345679,19,729,14311,UNSAT,0.27109643800213234,1,221,0,221,0,0,,,,UNSAT,True
9,0.16049382716049382,13,729,14305,UNSAT,0.21179854300135048,1,159,0,159,0,0,,,,UNSAT,True
9,0.2839506172839506,23,729,14315,UNSAT,0.4423031580008683,1,609,0,609,0,0,,,,UNSAT,True
9,0.25925925925925924,21,729,14313,SAT,0.44593837700085714,1,729,0,729,0,729,True,True,,SAT,True
9,0.1728395061728395,14,729,14306,UNSAT,0.21052566899743397,1,161,0,161,0,0,,,,UNSAT,True
9,0.24691358024691357,20,729,14312,SAT,0.4433727040013764,1,729,0,729,0,729,True,True,,SAT,True
9,0.20987654320987653,17,729,14309,UNSAT,0.4175753559975419,1,483,0,483,0,0,,,,UNSAT,True
9,0.2839506172839506,23,729,14315,UNSAT,0.03000824199989438,1,14,0,14,0,0,,,,UNSAT,True
9,0.18518518518518517,15,729,14307,UNSAT,0.21153682300064247,1,164,0,164,0,0,,,,UNSAT,True
9,0.25925925925925924,21,729,14313,UNSAT,0.3916823999970802,1,411,0,411,0,0,,,,UNSAT,True
9,0.2962962962962963,24,729,14316,UNSAT,0.07849171099951491,1,49,0,49,0,0,,,,UNSAT,True
9,0.25925925925925924,21,729,14313,SAT,0.4497101059969282,1,729,0,729,0,729,True,True,,SAT,True
9,0.2345679012345679,19,729,14311,UNSAT,0.1209567500045523,1,82,0,82,0,0,,,,UNSAT,True
9,0.16049382716049382,13,729,14305,ERROR,0.35539558900200063,1,341,1,339,1,0,,,solve: TypeError: object of type 'int' has no len(),SAT,False
9,0.19753086419753085,16,729,14308,UNSAT,0.027210407999518793,1,12,0,12,0,0,,,,UNSAT,True
9,0.2222222222222222,18,729,14310,UNSAT,0.21107985799608286,1,161,0,161,0,0,,,,UNSAT,True
